"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1029","uses alias for logo and rechecks text","","Thu Sep 18 10:01:11 IST 2025","passed","Thu Sep 18 10:01:13 IST 2025","","SauceDemo Command Chaining & Control Flow","SauceDemo Command Chaining & Control Flow","uses alias for logo and rechecks text"
"","1118","uses .within() to scope commands inside inventory container","","Thu Sep 18 10:01:13 IST 2025","passed","Thu Sep 18 10:01:14 IST 2025","","SauceDemo Command Chaining & Control Flow","SauceDemo Command Chaining & Control Flow","uses .within() to scope commands inside inventory container"
"","1205","should check attributes","","Thu Sep 18 09:59:54 IST 2025","passed","Thu Sep 18 09:59:55 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should check attributes"
"","1462","should verify text content","","Thu Sep 18 09:59:53 IST 2025","passed","Thu Sep 18 09:59:54 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should verify text content"
"","6294","uses .then() to extract and log item text","","Thu Sep 18 10:01:03 IST 2025","passed","Thu Sep 18 10:01:10 IST 2025","","SauceDemo Command Chaining & Control Flow","SauceDemo Command Chaining & Control Flow","uses .then() to extract and log item text"
"","5275","demonstrates screenshot capabilities","","Thu Sep 18 10:00:15 IST 2025","passed","Thu Sep 18 10:00:20 IST 2025","","OrangeHRM Screenshot Examples","OrangeHRM Screenshot Examples","demonstrates screenshot capabilities"
"","1676","should assert against a function for inventory items","","Thu Sep 18 09:59:59 IST 2025","broken","Thu Sep 18 10:00:01 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should assert against a function for inventory items"
"","1204","should verify CSS classes","","Thu Sep 18 09:59:55 IST 2025","passed","Thu Sep 18 09:59:57 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should verify CSS classes"
"","2014","should toggle burger menu visibility","","Thu Sep 18 09:59:51 IST 2025","passed","Thu Sep 18 09:59:53 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should toggle burger menu visibility"
"","6416","should verify item existence","","Thu Sep 18 09:59:44 IST 2025","passed","Thu Sep 18 09:59:51 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should verify item existence"
"","1208","should chain assertions on Add to Cart button","","Thu Sep 18 09:59:58 IST 2025","passed","Thu Sep 18 09:59:59 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should chain assertions on Add to Cart button"
"","1568","uses alias .as() and re-queries after click","","Thu Sep 18 10:01:10 IST 2025","passed","Thu Sep 18 10:01:11 IST 2025","","SauceDemo Command Chaining & Control Flow","SauceDemo Command Chaining & Control Flow","uses alias .as() and re-queries after click"
"","7343","should login with custom command","","Thu Sep 18 10:00:56 IST 2025","passed","Thu Sep 18 10:01:03 IST 2025","","OrangeHRM Login","OrangeHRM Login","should login with custom command"
"","1199","should check element lengths","","Thu Sep 18 09:59:57 IST 2025","passed","Thu Sep 18 09:59:58 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should check element lengths"
"","1421","should verify URL checks","","Thu Sep 18 10:00:01 IST 2025","passed","Thu Sep 18 10:00:02 IST 2025","","Sauce Demo Spec","Sauce Demo Spec","should verify URL checks"
